Line	MessageNo	File Name
0	1	mikroc8051.exe -MSF -DBG -pAT89C52 -ES -DL -O11111114 -fo20 -N"G:\icei\c8051\contadorLed_mikroC\contadorLed.mcp51" -SP"C:\Archivos de programa\Mikroelektronika\mikroC PRO for 8051\defs\" -SP"C:\Archivos de programa\Mikroelektronika\mikroC PRO for 8051\Uses\ATMEL\" -SP"G:\icei\c8051\contadorLed_mikroC\" "contadorLed.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_UART_Timer1.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl"	 
diagnostics: 0	125	All files Preprocessed in 15 ms	 
diagnostics: 0	121	Compilation Started	contadorLed.c
diagnostics: 13	122	Compiled Successfully	contadorLed.c
diagnostics: 0	126	All files Compiled in 47 ms	 
hint: 0	1141	Used BDATA RAM (bytes): 0 (1%) Free BDATA RAM (bytes): 16 (99%)	Used BDATA RAM (bytes): 0 (1%) Free BDATA RAM (bytes): 16 (99%)
hint: 0	1141	Used DATA RAM (bytes): 1 (1%) Free DATA RAM (bytes): 103 (99%)	Used DATA RAM (bytes): 1 (1%) Free DATA RAM (bytes): 103 (99%)
hint: 0	1141	Used IDATA RAM (bytes): 0 (1%) Free IDATA RAM (bytes): 128 (99%)	Used IDATA RAM (bytes): 0 (1%) Free IDATA RAM (bytes): 128 (99%)
hint: 0	1141	Used ROM (bytes): 92 (1%)  Free ROM (bytes): 8100 (99%)	Used ROM (bytes): 92 (1%)  Free ROM (bytes): 8100 (99%)
diagnostics: 0	124	Project Linked Successfully	contadorLed.mcp51
diagnostics: 0	127	Linked in 391 ms	 
diagnostics: 0	128	Project 'contadorLed.mcp51' completed: 844 ms	 
diagnostics: 0	103	Finished successfully: 27 May 2014, 17:53:35	contadorLed.mcp51
